section,category,description,region,date,metric,value
Hospital Data,Hospital Level,Summary,Colorado,NA,Facilities Updating Within Last Day,0.94
Hospital Data,Hospital Level,Summary,Colorado,NA,Confirmed COVID-19 Patients,1169
Hospital Data,Hospital Level,Summary,Colorado,NA,COVID-19 Persons Under Investigation,135
Hospital Data,Hospital Level,Summary,Colorado,NA,Patients Discharged or Transferred Within 24 Hours,134
Hospital Data,Hospital Level,Summary,Colorado,NA,Facilities Anticipating Staff Shortages Within Next Week,0.24
Hospital Data,Hospital Level,Summary,Colorado,NA,Facilities Anticipating PPE Shortages Within Next Week,0.03
Hospital Data,Hospital Level,Summary,Colorado,NA,Facilities Anticipating ICU Bed Shortages Within Next Week,0.1
Hospital Data,Hospital Level,Summary,Colorado,NA,Adult Critical Care Ventilators in Use,0.41
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-05,ICU Hospital Beds in Use,1147
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-05,Total ICU Hospital Beds,1592
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-05,Percent of ICU Hospital Beds in Use,0.72
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-05,Acute Care Hospital Beds in Use,5036
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-05,Total Acute Care Hospital Beds,7749
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-05,Percent of Acute Care Hospital Beds in Use,0.65
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-06,ICU Hospital Beds in Use,1215
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-06,Total ICU Hospital Beds,1669
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-06,Percent of ICU Hospital Beds in Use,0.73
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-06,Acute Care Hospital Beds in Use,5212
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-06,Total Acute Care Hospital Beds,7952
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-06,Percent of Acute Care Hospital Beds in Use,0.66
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-07,ICU Hospital Beds in Use,1273
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-07,Total ICU Hospital Beds,1774
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-07,Percent of ICU Hospital Beds in Use,0.72
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-07,Acute Care Hospital Beds in Use,5514
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-07,Total Acute Care Hospital Beds,8134
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-07,Percent of Acute Care Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-08,ICU Hospital Beds in Use,1200
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-08,Total ICU Hospital Beds,1774
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-08,Percent of ICU Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-08,Acute Care Hospital Beds in Use,5406
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-08,Total Acute Care Hospital Beds,8006
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-08,Percent of Acute Care Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-09,ICU Hospital Beds in Use,1174
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-09,Total ICU Hospital Beds,1774
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-09,Percent of ICU Hospital Beds in Use,0.66
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-09,Acute Care Hospital Beds in Use,5355
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-09,Total Acute Care Hospital Beds,8005
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-09,Percent of Acute Care Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-10,ICU Hospital Beds in Use,1159
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-10,Total ICU Hospital Beds,1778
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-10,Percent of ICU Hospital Beds in Use,0.65
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-10,Acute Care Hospital Beds in Use,5367
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-10,Total Acute Care Hospital Beds,7983
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-10,Percent of Acute Care Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-11,ICU Hospital Beds in Use,1101
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-11,Total ICU Hospital Beds,1794
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-11,Percent of ICU Hospital Beds in Use,0.61
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-11,7-Day Average of Percent of ICU Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-11,Acute Care Hospital Beds in Use,5334
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-11,Total Acute Care Hospital Beds,7977
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-11,Percent of Acute Care Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-11,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-12,ICU Hospital Beds in Use,1095
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-12,Total ICU Hospital Beds,1794
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-12,Percent of ICU Hospital Beds in Use,0.61
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-12,7-Day Average of Percent of ICU Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-12,Acute Care Hospital Beds in Use,5200
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-12,Total Acute Care Hospital Beds,7977
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-12,Percent of Acute Care Hospital Beds in Use,0.65
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-12,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-13,ICU Hospital Beds in Use,1074
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-13,Total ICU Hospital Beds,1794
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-13,Percent of ICU Hospital Beds in Use,0.6
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-13,7-Day Average of Percent of ICU Hospital Beds in Use,0.65
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-13,Acute Care Hospital Beds in Use,5273
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-13,Total Acute Care Hospital Beds,8024
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-13,Percent of Acute Care Hospital Beds in Use,0.66
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-13,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-14,ICU Hospital Beds in Use,1190
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-14,Total ICU Hospital Beds,1814
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-14,Percent of ICU Hospital Beds in Use,0.66
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-14,7-Day Average of Percent of ICU Hospital Beds in Use,0.64
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-14,Acute Care Hospital Beds in Use,5519
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-14,Total Acute Care Hospital Beds,8092
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-14,Percent of Acute Care Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-14,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-15,ICU Hospital Beds in Use,1222
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-15,Total ICU Hospital Beds,1819
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-15,Percent of ICU Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-15,7-Day Average of Percent of ICU Hospital Beds in Use,0.64
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-15,Acute Care Hospital Beds in Use,5548
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-15,Total Acute Care Hospital Beds,8090
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-15,Percent of Acute Care Hospital Beds in Use,0.69
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-15,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-16,ICU Hospital Beds in Use,1208
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-16,Total ICU Hospital Beds,1825
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-16,Percent of ICU Hospital Beds in Use,0.66
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-16,7-Day Average of Percent of ICU Hospital Beds in Use,0.64
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-16,Acute Care Hospital Beds in Use,5563
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-16,Total Acute Care Hospital Beds,8153
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-16,Percent of Acute Care Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,Colorado,2020-04-16,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.67
